Gene,EntrezID,Gene description,Concentration,Concentration(ng/L)
SNX12,29934,Sorting nexin 12,89 ng/L,89
NIT1,4817,Nitrilase 1,89 ng/L,89
RPL27A,6157,Ribosomal protein L27a,89 ng/L,89
PFDN6,10471,Prefoldin subunit 6,89 ng/L,89
PLAU,5328,"Plasminogen activator, urokinase",88 ng/L,88
TPST2,8459,Tyrosylprotein sulfotransferase 2,88 ng/L,88
PCDH10,57575,Protocadherin 10,88 ng/L,88
HNRNPUL2,221092,Heterogeneous nuclear ribonucleoprotein U like 2,88 ng/L,88
NCK2,8440,NCK adaptor protein 2,87 ng/L,87
SF3A1,10291,Splicing factor 3a subunit 1,87 ng/L,87
FLT1,2321,Fms related receptor tyrosine kinase 1,87 ng/L,87
UBAC1,10422,UBA domain containing 1,87 ng/L,87
GAST,2520,Gastrin,87 ng/L,87
RPL37A,6168,Ribosomal protein L37a,87 ng/L,87
NUDT3,11165,Nudix hydrolase 3,87 ng/L,87
DDX1,1653,DEAD-box helicase 1,86 ng/L,86
WFDC12,128488,WAP four-disulfide core domain 12,86 ng/L,86
RHOG,391,Ras homolog family member G,86 ng/L,86
RPL23A,6147,Ribosomal protein L23a,86 ng/L,86
COX6A1,1337,Cytochrome c oxidase subunit 6A1,85 ng/L,85
PFDN2,5202,Prefoldin subunit 2,85 ng/L,85
CD96,10225,CD96 molecule,85 ng/L,85
DGCR2,9993,DiGeorge syndrome critical region gene 2,84 ng/L,84
ME2,4200,Malic enzyme 2,84 ng/L,84
TXN2,25828,Thioredoxin 2,84 ng/L,84
PRPSAP2,5636,Phosphoribosyl pyrophosphate synthetase associated protein 2,84 ng/L,84
WASF2,10163,WASP family member 2,84 ng/L,84
PCYT2,5833,"Phosphate cytidylyltransferase 2, ethanolamine",84 ng/L,84
GCNT1,2650,Glucosaminyl (N-acetyl) transferase 1,84 ng/L,84
SLC25A3,5250,Solute carrier family 25 member 3,83 ng/L,83
SEC23A,10484,"Sec23 homolog A, COPII coat complex component",83 ng/L,83
ATE1,11101,Arginyltransferase 1,83 ng/L,83
CMIP,80790,C-Maf inducing protein,83 ng/L,83
KALRN,8997,Kalirin RhoGEF kinase,83 ng/L,83
PRRT3,285368,Proline rich transmembrane protein 3,83 ng/L,83
PCDH19,57526,Protocadherin 19,83 ng/L,83
EIF3F,8665,Eukaryotic translation initiation factor 3 subunit F,83 ng/L,83
CSNK2B,1460,Casein kinase 2 beta,83 ng/L,83
KARS1,3735,Lysyl-tRNA synthetase 1,82 ng/L,82
DYNC1I2,1781,Dynein cytoplasmic 1 intermediate chain 2,82 ng/L,82
TMED2,10959,Transmembrane p24 trafficking protein 2,82 ng/L,82
ELOB,6923,Elongin B,82 ng/L,82
RPA1,6117,Replication protein A1,82 ng/L,82
SEC14L4,284904,SEC14 like lipid binding 4,82 ng/L,82
STAM,8027,Signal transducing adaptor molecule,82 ng/L,82
NLGN1,22871,Neuroligin 1,82 ng/L,82
GPX2,2877,Glutathione peroxidase 2,82 ng/L,82
ENTPD4,9583,Ectonucleoside triphosphate diphosphohydrolase 4,82 ng/L,82
SACM1L,22908,SAC1 like phosphatidylinositide phosphatase,82 ng/L,82
SGTA,6449,Small glutamine rich tetratricopeptide repeat containing alpha,81 ng/L,81
NDUFA5,4698,NADH:ubiquinone oxidoreductase subunit A5,81 ng/L,81
SQSTM1,8878,Sequestosome 1,81 ng/L,81
RUVBL1,8607,RuvB like AAA ATPase 1,81 ng/L,81
PSMD13,5719,"Proteasome 26S subunit, non-ATPase 13",81 ng/L,81
DOK1,1796,Docking protein 1,80 ng/L,80
PPL,5493,Periplakin,80 ng/L,80
C1orf198,84886,Chromosome 1 open reading frame 198,80 ng/L,80
PKDCC,91461,"Protein kinase domain containing, cytoplasmic",80 ng/L,80
STK39,27347,Serine/threonine kinase 39,80 ng/L,80
TNNT1,7138,"Troponin T1, slow skeletal type",79 ng/L,79
FBL,2091,Fibrillarin,79 ng/L,79
SORL1,6653,Sortilin related receptor 1,79 ng/L,79
EXTL1,2134,Exostosin like glycosyltransferase 1,79 ng/L,79
NTRK1,4914,Neurotrophic receptor tyrosine kinase 1,79 ng/L,79
DUSP14,11072,Dual specificity phosphatase 14,79 ng/L,79
VSIG2,23584,V-set and immunoglobulin domain containing 2,78 ng/L,78
TRIP13,9319,Thyroid hormone receptor interactor 13,78 ng/L,78
TIMM9,26520,Translocase of inner mitochondrial membrane 9,78 ng/L,78
BPI,671,Bactericidal permeability increasing protein,78 ng/L,78
FSHB,2488,Follicle stimulating hormone subunit beta,78 ng/L,78
NUP210,23225,Nucleoporin 210,78 ng/L,78
SNRNP200,23020,Small nuclear ribonucleoprotein U5 subunit 200,78 ng/L,78
LRIG1,26018,Leucine rich repeats and immunoglobulin like domains 1,78 ng/L,78
GPS1,2873,G protein pathway suppressor 1,78 ng/L,78
CLCA1,1179,Chloride channel accessory 1,77 ng/L,77
EIF5,1983,Eukaryotic translation initiation factor 5,77 ng/L,77
LY86,9450,Lymphocyte antigen 86,77 ng/L,77
AMPD3,272,Adenosine monophosphate deaminase 3,77 ng/L,77
SLIT2,9353,Slit guidance ligand 2,77 ng/L,77
XDH,7498,Xanthine dehydrogenase,77 ng/L,77
CCDC9B,388115,Coiled-coil domain containing 9B,77 ng/L,77
PHB2,11331,Prohibitin 2,77 ng/L,77
SNRPD2,6633,Small nuclear ribonucleoprotein D2 polypeptide,76 ng/L,76
NARS1,4677,Asparaginyl-tRNA synthetase 1,76 ng/L,76
CRABP2,1382,Cellular retinoic acid binding protein 2,76 ng/L,76
PGRMC2,10424,Progesterone receptor membrane component 2,76 ng/L,76
JPT2,90861,Jupiter microtubule associated homolog 2,76 ng/L,76
RANGAP1,5905,Ran GTPase activating protein 1,75 ng/L,75
SCAMP3,10067,Secretory carrier membrane protein 3,75 ng/L,75
PPM1B,5495,"Protein phosphatase, Mg2+/Mn2+ dependent 1B",75 ng/L,75
TWF1,5756,Twinfilin actin binding protein 1,75 ng/L,75
MUC6,4588,"Mucin 6, oligomeric mucus/gel-forming",75 ng/L,75
COL4A1,1282,Collagen type IV alpha 1 chain,75 ng/L,75
LRP2,4036,LDL receptor related protein 2,74 ng/L,74
MFNG,4242,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,74 ng/L,74
SNRNP70,6625,Small nuclear ribonucleoprotein U1 subunit 70,74 ng/L,74
RARS1,5917,Arginyl-tRNA synthetase 1,74 ng/L,74
TNNI1,7135,"Troponin I1, slow skeletal type",74 ng/L,74
PTPN11,5781,Protein tyrosine phosphatase non-receptor type 11,74 ng/L,74
B3GNT3,10331,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3",74 ng/L,74
HIBCH,26275,3-hydroxyisobutyryl-CoA hydrolase,74 ng/L,74
U2AF2,11338,U2 small nuclear RNA auxiliary factor 2,73 ng/L,73
HUWE1,10075,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",73 ng/L,73
RTCB,51493,"RNA 2',3'-cyclic phosphate and 5'-OH ligase",73 ng/L,73
FGF21,26291,Fibroblast growth factor 21,73 ng/L,73
LRRN4,164312,Leucine rich repeat neuronal 4,73 ng/L,73
TOM1L2,146691,Target of myb1 like 2 membrane trafficking protein,73 ng/L,73
PSMD12,5718,"Proteasome 26S subunit, non-ATPase 12",73 ng/L,73
GPSM3,63940,G protein signaling modulator 3,73 ng/L,73
EIF3L,51386,Eukaryotic translation initiation factor 3 subunit L,72 ng/L,72
GNPNAT1,64841,Glucosamine-phosphate N-acetyltransferase 1,72 ng/L,72
GMDS,2762,"GDP-mannose 4,6-dehydratase",72 ng/L,72
SYNE1,23345,Spectrin repeat containing nuclear envelope protein 1,72 ng/L,72
HS6ST1,9394,Heparan sulfate 6-O-sulfotransferase 1,72 ng/L,72
HMGA1,3159,High mobility group AT-hook 1,72 ng/L,72
GGT6,124975,Gamma-glutamyltransferase 6,72 ng/L,72
GNG7,2788,G protein subunit gamma 7,72 ng/L,72
CPNE3,8895,Copine 3,71 ng/L,71
PRPF19,27339,Pre-mRNA processing factor 19,71 ng/L,71
SCAMP2,10066,Secretory carrier membrane protein 2,71 ng/L,71
ABHD10,55347,"Abhydrolase domain containing 10, depalmitoylase",71 ng/L,71
MYOZ1,58529,Myozenin 1,71 ng/L,71
EIF3I,8668,Eukaryotic translation initiation factor 3 subunit I,70 ng/L,70
OSBP,5007,Oxysterol binding protein,70 ng/L,70
METAP2,10988,Methionyl aminopeptidase 2,70 ng/L,70
COPZ1,22818,COPI coat complex subunit zeta 1,70 ng/L,70
DLST,1743,Dihydrolipoamide S-succinyltransferase,70 ng/L,70
ATP5F1C,509,ATP synthase F1 subunit gamma,70 ng/L,70
PUF60,22827,Poly(U) binding splicing factor 60,70 ng/L,70
DNM3,26052,Dynamin 3,70 ng/L,70
IPO9,55705,Importin 9,70 ng/L,70
AMACR,23600,Alpha-methylacyl-CoA racemase,70 ng/L,70
AGPS,8540,Alkylglycerone phosphate synthase,69 ng/L,69
CACNA2D3,55799,Calcium voltage-gated channel auxiliary subunit alpha2delta 3,69 ng/L,69
PSMD4,5710,"Proteasome 26S subunit, non-ATPase 4",69 ng/L,69
HJV,148738,Hemojuvelin BMP co-receptor,69 ng/L,69
UROS,7390,Uroporphyrinogen III synthase,69 ng/L,69
EIF4G3,8672,Eukaryotic translation initiation factor 4 gamma 3,68 ng/L,68
MSR1,4481,Macrophage scavenger receptor 1,67 ng/L,67
DNAJA2,10294,DnaJ heat shock protein family (Hsp40) member A2,67 ng/L,67
CBL,867,Cbl proto-oncogene,67 ng/L,67
KIAA0513,9764,KIAA0513,67 ng/L,67
UBAP2L,9898,Ubiquitin associated protein 2 like,67 ng/L,67
SAFB,6294,Scaffold attachment factor B,67 ng/L,67
AGR3,155465,"Anterior gradient 3, protein disulphide isomerase family member",67 ng/L,67
CAMK2A,815,Calcium/calmodulin dependent protein kinase II alpha,66 ng/L,66
RPS16,6217,Ribosomal protein S16,66 ng/L,66
COPE,11316,COPI coat complex subunit epsilon,66 ng/L,66
SETBP1,26040,SET binding protein 1,66 ng/L,66
ADPGK,83440,ADP dependent glucokinase,66 ng/L,66
RPRD2,23248,Regulation of nuclear pre-mRNA domain containing 2,66 ng/L,66
CUL3,8452,Cullin 3,65 ng/L,65
EPS15,2060,Epidermal growth factor receptor pathway substrate 15,65 ng/L,65
KAZALD1,81621,Kazal type serine peptidase inhibitor domain 1,65 ng/L,65
AGO2,27161,Argonaute RISC catalytic component 2,65 ng/L,65
SURF4,6836,Surfeit 4,65 ng/L,65
NUDT2,318,Nudix hydrolase 2,65 ng/L,65
CLPX,10845,Caseinolytic mitochondrial matrix peptidase chaperone subunit X,65 ng/L,65
ENTPD7,57089,Ectonucleoside triphosphate diphosphohydrolase 7,65 ng/L,65
ITGB5,3693,Integrin subunit beta 5,64 ng/L,64
GTPBP1,9567,GTP binding protein 1,64 ng/L,64
NLN,57486,Neurolysin,64 ng/L,64
EIF3G,8666,Eukaryotic translation initiation factor 3 subunit G,64 ng/L,64
GLIPR1,11010,GLI pathogenesis related 1,64 ng/L,64
DMP1,1758,Dentin matrix acidic phosphoprotein 1,64 ng/L,64
ACP6,51205,"Acid phosphatase 6, lysophosphatidic",64 ng/L,64
RPS9,6203,Ribosomal protein S9,64 ng/L,64
DCC,1630,DCC netrin 1 receptor,64 ng/L,64
MIA,8190,MIA SH3 domain containing,64 ng/L,64
FUBP3,8939,Far upstream element binding protein 3,63 ng/L,63
RAB32,10981,"RAB32, member RAS oncogene family",63 ng/L,63
FKBP9,11328,FKBP prolyl isomerase 9,63 ng/L,63
VPS28,51160,VPS28 subunit of ESCRT-I,63 ng/L,63
OPRPN,58503,Opiorphin prepropeptide,63 ng/L,63
CCL19,6363,C-C motif chemokine ligand 19,63 ng/L,63
CSRP2,1466,Cysteine and glycine rich protein 2,63 ng/L,63
COPB2,9276,COPI coat complex subunit beta 2,63 ng/L,63
SMPX,23676,Small muscle protein X-linked,62 ng/L,62
CPXM2,119587,"Carboxypeptidase X, M14 family member 2",62 ng/L,62
TRA2B,6434,Transformer 2 beta homolog,62 ng/L,62
NUMA1,4926,Nuclear mitotic apparatus protein 1,62 ng/L,62
RAP1GDS1,5910,Rap1 GTPase-GDP dissociation stimulator 1,62 ng/L,62
UFC1,51506,Ubiquitin-fold modifier conjugating enzyme 1,62 ng/L,62
SSR2,6746,Signal sequence receptor subunit 2,62 ng/L,62
AP1G1,164,Adaptor related protein complex 1 subunit gamma 1,62 ng/L,62
MFF,56947,Mitochondrial fission factor,62 ng/L,62
VPREB1,7441,V-set pre-B cell surrogate light chain 1,62 ng/L,62
IL17RA,23765,Interleukin 17 receptor A,62 ng/L,62
AKR1D1,6718,Aldo-keto reductase family 1 member D1,61 ng/L,61
HADHB,3032,Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta,61 ng/L,61
FABP2,2169,Fatty acid binding protein 2,61 ng/L,61
CD320,51293,CD320 molecule,61 ng/L,61
PDHB,5162,Pyruvate dehydrogenase E1 subunit beta,61 ng/L,61
DCTPP1,79077,DCTP pyrophosphatase 1,61 ng/L,61
AP2A1,160,Adaptor related protein complex 2 subunit alpha 1,61 ng/L,61
NCKAP1,10787,NCK associated protein 1,60 ng/L,60
POFUT1,23509,Protein O-fucosyltransferase 1,60 ng/L,60
P4HA1,5033,Prolyl 4-hydroxylase subunit alpha 1,60 ng/L,60
ATP5PD,10476,ATP synthase peripheral stalk subunit d,60 ng/L,60
PAIP1,10605,Poly(A) binding protein interacting protein 1,60 ng/L,60
KRTAP13-4,284827,Keratin associated protein 13-4,60 ng/L,60
ATP5MF,9551,ATP synthase membrane subunit f,60 ng/L,60
THRAP3,9967,Thyroid hormone receptor associated protein 3,59 ng/L,59
NSF,4905,"N-ethylmaleimide sensitive factor, vesicle fusing ATPase",59 ng/L,59
LAMP3,27074,Lysosomal associated membrane protein 3,59 ng/L,59
RPL28,6158,Ribosomal protein L28,59 ng/L,59
CRACD,57482,Capping protein inhibiting regulator of actin dynamics,59 ng/L,59
TIMM8A,1678,Translocase of inner mitochondrial membrane 8A,59 ng/L,59
BTF3L4,91408,Basic transcription factor 3 like 4,59 ng/L,59
AMOTL1,154810,Angiomotin like 1,59 ng/L,59
EWSR1,2130,EWS RNA binding protein 1,59 ng/L,59
SERPINB10,5273,Serpin family B member 10,59 ng/L,59
NRDC,4898,Nardilysin convertase,58 ng/L,58
TNR,7143,Tenascin R,58 ng/L,58
ALDH4A1,8659,Aldehyde dehydrogenase 4 family member A1,58 ng/L,58
FREM1,158326,FRAS1 related extracellular matrix 1,58 ng/L,58
QARS1,5859,Glutaminyl-tRNA synthetase 1,58 ng/L,58
CNTN2,6900,Contactin 2,58 ng/L,58
ATL3,25923,Atlastin GTPase 3,58 ng/L,58
CD2AP,23607,CD2 associated protein,58 ng/L,58
CTNNA1,1495,Catenin alpha 1,57 ng/L,57
GALK1,2584,Galactokinase 1,57 ng/L,57
VEGFA,7422,Vascular endothelial growth factor A,57 ng/L,57
TNNT2,7139,"Troponin T2, cardiac type",57 ng/L,57
COPG1,22820,COPI coat complex subunit gamma 1,57 ng/L,57
SF3A3,10946,Splicing factor 3a subunit 3,57 ng/L,57
TSTD1,100131187,Thiosulfate sulfurtransferase like domain containing 1,57 ng/L,57
ERVH48-1,90625,Endogenous retrovirus group 48 member 1,57 ng/L,57
DAPP1,27071,Dual adaptor of phosphotyrosine and 3-phosphoinositides 1,56 ng/L,56
ECHDC1,55862,Ethylmalonyl-CoA decarboxylase 1,56 ng/L,56
KTN1,3895,Kinectin 1,55 ng/L,55
COX4I1,1327,Cytochrome c oxidase subunit 4I1,55 ng/L,55
TTYH3,80727,Tweety family member 3,55 ng/L,55
TMEM108,66000,Transmembrane protein 108,55 ng/L,55
CDHR1,92211,Cadherin related family member 1,55 ng/L,55
MAP1A,4130,Microtubule associated protein 1A,55 ng/L,55
PLIN4,729359,Perilipin 4,55 ng/L,55
STAT3,6774,Signal transducer and activator of transcription 3,55 ng/L,55
CHST11,50515,Carbohydrate sulfotransferase 11,55 ng/L,55
ATP5MD,84833,ATP synthase membrane subunit DAPIT,55 ng/L,55
MSRA,4482,Methionine sulfoxide reductase A,55 ng/L,55
FARSA,2193,Phenylalanyl-tRNA synthetase subunit alpha,55 ng/L,55
MMP1,4312,Matrix metallopeptidase 1,55 ng/L,55
GTF2I,2969,General transcription factor IIi,55 ng/L,55
EPB41L2,2037,Erythrocyte membrane protein band 4.1 like 2,54 ng/L,54
COPS7A,50813,COP9 signalosome subunit 7A,54 ng/L,54
ADPRS,54936,ADP-ribosylserine hydrolase,54 ng/L,54
HS1BP3,64342,HCLS1 binding protein 3,54 ng/L,54
CNRIP1,25927,Cannabinoid receptor interacting protein 1,54 ng/L,54
C5orf46,389336,Chromosome 5 open reading frame 46,54 ng/L,54
MBP,4155,Myelin basic protein,54 ng/L,54
ERVW-1,30816,"Endogenous retrovirus group W member 1, envelope",54 ng/L,54
GALC,2581,Galactosylceramidase,53 ng/L,53
CHMP4B,128866,Charged multivesicular body protein 4B,53 ng/L,53
XPO7,23039,Exportin 7,53 ng/L,53
PLVAP,83483,Plasmalemma vesicle associated protein,53 ng/L,53
RUVBL2,10856,RuvB like AAA ATPase 2,53 ng/L,53
CA12,771,Carbonic anhydrase 12,52 ng/L,52
ALDH3A1,218,Aldehyde dehydrogenase 3 family member A1,52 ng/L,52
APIP,51074,APAF1 interacting protein,52 ng/L,52
COL24A1,255631,Collagen type XXIV alpha 1 chain,52 ng/L,52
TDRP,157695,Testis development related protein,52 ng/L,52
SPESP1,246777,Sperm equatorial segment protein 1,52 ng/L,52
ABCF2,10061,ATP binding cassette subfamily F member 2,51 ng/L,51
SLC7A5,8140,Solute carrier family 7 member 5,51 ng/L,51
TFPI2,7980,Tissue factor pathway inhibitor 2,51 ng/L,51
TYRP1,7306,Tyrosinase related protein 1,51 ng/L,51
GMPPA,29926,GDP-mannose pyrophosphorylase A,51 ng/L,51
CBR4,84869,Carbonyl reductase 4,51 ng/L,51
OTOA,146183,Otoancorin,51 ng/L,51
FUT6,2528,Fucosyltransferase 6,51 ng/L,51
CDK1,983,Cyclin dependent kinase 1,51 ng/L,51
ABCF2-H2BE1,114483834,ABCF2-H2BE1 readthrough,51 ng/L,51
ZMPSTE24,10269,Zinc metallopeptidase STE24,50 ng/L,50
TREM2,54209,Triggering receptor expressed on myeloid cells 2,50 ng/L,50
GMPR2,51292,Guanosine monophosphate reductase 2,50 ng/L,50
ALDH5A1,7915,Aldehyde dehydrogenase 5 family member A1,50 ng/L,50
RO60,6738,"Ro60, Y RNA binding protein",50 ng/L,50
SRSF6,6431,Serine and arginine rich splicing factor 6,50 ng/L,50
ITGAX,3687,Integrin subunit alpha X,50 ng/L,50
GCSH,2653,Glycine cleavage system protein H,50 ng/L,50
GMPS,8833,Guanine monophosphate synthase,50 ng/L,50
NDUFA4,4697,NDUFA4 mitochondrial complex associated,50 ng/L,50
SF3B3,23450,Splicing factor 3b subunit 3,50 ng/L,50
CORO7,79585,Coronin 7,50 ng/L,50
MILR1,284021,Mast cell immunoglobulin like receptor 1,50 ng/L,50
ALOX12,239,"Arachidonate 12-lipoxygenase, 12S type",49 ng/L,49
ACTR1B,10120,Actin related protein 1B,49 ng/L,49
L3HYPDH,112849,Trans-L-3-hydroxyproline dehydratase,49 ng/L,49
UBE2M,9040,Ubiquitin conjugating enzyme E2 M,49 ng/L,49
SRSF10,10772,Serine and arginine rich splicing factor 10,49 ng/L,49
CD47,961,CD47 molecule,49 ng/L,49
AQP1,358,Aquaporin 1 (Colton blood group),49 ng/L,49
MRPL12,6182,Mitochondrial ribosomal protein L12,49 ng/L,49
SYN1,6853,Synapsin I,48 ng/L,48
NDUFS1,4719,NADH:ubiquinone oxidoreductase core subunit S1,48 ng/L,48
ALDH18A1,5832,Aldehyde dehydrogenase 18 family member A1,48 ng/L,48
RTRAF,51637,"RNA transcription, translation and transport factor",48 ng/L,48
IGBP1,3476,Immunoglobulin binding protein 1,48 ng/L,48
EIF4G2,1982,Eukaryotic translation initiation factor 4 gamma 2,48 ng/L,48
UAP1,6675,UDP-N-acetylglucosamine pyrophosphorylase 1,48 ng/L,48
SAFB2,9667,Scaffold attachment factor B2,48 ng/L,48
SNRPA1,6627,Small nuclear ribonucleoprotein polypeptide A',48 ng/L,48
SDSL,113675,Serine dehydratase like,48 ng/L,48
SEC16A,9919,"SEC16 homolog A, endoplasmic reticulum export factor",48 ng/L,48
RFESD,317671,Rieske Fe-S domain containing,48 ng/L,48
ASNS,440,Asparagine synthetase (glutamine-hydrolyzing),47 ng/L,47
TNS1,7145,Tensin 1,47 ng/L,47
PDCD5,9141,Programmed cell death 5,47 ng/L,47
GALNT12,79695,Polypeptide N-acetylgalactosaminyltransferase 12,47 ng/L,47
MYBBP1A,10514,MYB binding protein 1a,47 ng/L,47
G3BP2,9908,G3BP stress granule assembly factor 2,47 ng/L,47
SNRPF,6636,Small nuclear ribonucleoprotein polypeptide F,47 ng/L,47
TACC1,6867,Transforming acidic coiled-coil containing protein 1,47 ng/L,47
ANO6,196527,Anoctamin 6,47 ng/L,47
RCC1,1104,Regulator of chromosome condensation 1,47 ng/L,47
MANEAL,149175,Mannosidase endo-alpha like,47 ng/L,47
KLRK1,22914,Killer cell lectin like receptor K1,47 ng/L,47
MAPK3,5595,Mitogen-activated protein kinase 3,46 ng/L,46
NUP214,8021,Nucleoporin 214,46 ng/L,46
DOCK2,1794,Dedicator of cytokinesis 2,46 ng/L,46
IGF1R,3480,Insulin like growth factor 1 receptor,46 ng/L,46
MYO1F,4542,Myosin IF,46 ng/L,46
BMP6,654,Bone morphogenetic protein 6,46 ng/L,46
GAPVD1,26130,GTPase activating protein and VPS9 domains 1,46 ng/L,46
CNP,1267,"2',3'-cyclic nucleotide 3' phosphodiesterase",46 ng/L,46
RYR1,6261,Ryanodine receptor 1,46 ng/L,46
SUCO,51430,SUN domain containing ossification factor,45 ng/L,45
PRMT5,10419,Protein arginine methyltransferase 5,45 ng/L,45
STK4,6789,Serine/threonine kinase 4,45 ng/L,45
CPT1A,1374,Carnitine palmitoyltransferase 1A,45 ng/L,45
TOMM40,10452,Translocase of outer mitochondrial membrane 40,45 ng/L,45
APPL2,55198,"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2",45 ng/L,45
IL1RN,3557,Interleukin 1 receptor antagonist,45 ng/L,45
RPL32,6161,Ribosomal protein L32,45 ng/L,45
UBXN1,51035,UBX domain protein 1,45 ng/L,45
IRGQ,126298,Immunity related GTPase Q,45 ng/L,45
CYC1,1537,Cytochrome c1,45 ng/L,45
HGS,9146,Hepatocyte growth factor-regulated tyrosine kinase substrate,45 ng/L,45
PPME1,51400,Protein phosphatase methylesterase 1,45 ng/L,45
EIF2AK2,5610,Eukaryotic translation initiation factor 2 alpha kinase 2,44 ng/L,44
TOM1,10043,Target of myb1 membrane trafficking protein,44 ng/L,44
MCM5,4174,Minichromosome maintenance complex component 5,44 ng/L,44
RPL18A,6142,Ribosomal protein L18a,44 ng/L,44
PPY,5539,Pancreatic polypeptide,44 ng/L,44
HDDC2,51020,HD domain containing 2,44 ng/L,44
RPL24,6152,Ribosomal protein L24,44 ng/L,44
POGLUT2,79070,Protein O-glucosyltransferase 2,44 ng/L,44
ARL3,403,ADP ribosylation factor like GTPase 3,44 ng/L,44
SUOX,6821,Sulfite oxidase,44 ng/L,44
CUL4A,8451,Cullin 4A,44 ng/L,44
FN3KRP,79672,Fructosamine 3 kinase related protein,44 ng/L,44
RPL13A,23521,Ribosomal protein L13a,44 ng/L,44
COPS7B,64708,COP9 signalosome subunit 7B,44 ng/L,44
DLAT,1737,Dihydrolipoamide S-acetyltransferase,44 ng/L,44
ACSL1,2180,Acyl-CoA synthetase long chain family member 1,44 ng/L,44
LY6E,4061,Lymphocyte antigen 6 family member E,44 ng/L,44
FRZB,2487,Frizzled related protein,44 ng/L,44
STOML2,30968,Stomatin like 2,44 ng/L,44
JAM3,83700,Junctional adhesion molecule 3,44 ng/L,44
NOLC1,9221,Nucleolar and coiled-body phosphoprotein 1,44 ng/L,44
ATP5MG,10632,ATP synthase membrane subunit g,44 ng/L,44
GSDMA,284110,Gasdermin A,44 ng/L,44
EIF4EBP1,1978,Eukaryotic translation initiation factor 4E binding protein 1,44 ng/L,44
TAF15,8148,TATA-box binding protein associated factor 15,44 ng/L,44
UBA5,79876,Ubiquitin like modifier activating enzyme 5,43 ng/L,43
COMT,1312,Catechol-O-methyltransferase,43 ng/L,43
SF3A2,8175,Splicing factor 3a subunit 2,43 ng/L,43
C1GALT1,56913,"Core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1",43 ng/L,43
LY9,4063,Lymphocyte antigen 9,43 ng/L,43
CAPRIN1,4076,Cell cycle associated protein 1,43 ng/L,43
TPPP3,51673,Tubulin polymerization promoting protein family member 3,43 ng/L,43
PPP1R11,6992,Protein phosphatase 1 regulatory inhibitor subunit 11,43 ng/L,43
ELFN1,392617,Extracellular leucine rich repeat and fibronectin type III domain containing 1,43 ng/L,43
RMDN3,55177,Regulator of microtubule dynamics 3,42 ng/L,42
SSRP1,6749,Structure specific recognition protein 1,42 ng/L,42
PPP3R1,5534,"Protein phosphatase 3 regulatory subunit B, alpha",42 ng/L,42
DHRS11,79154,Dehydrogenase/reductase 11,42 ng/L,42
RBP1,5947,Retinol binding protein 1,41 ng/L,41
VPS26A,9559,"VPS26, retromer complex component A",41 ng/L,41
SARAF,51669,Store-operated calcium entry associated regulatory factor,41 ng/L,41
PRUNE1,58497,Prune exopolyphosphatase 1,41 ng/L,41
GP2,2813,Glycoprotein 2,41 ng/L,41
GON7,84520,GON7 subunit of KEOPS complex,41 ng/L,41
ENTPD6,955,Ectonucleoside triphosphate diphosphohydrolase 6,41 ng/L,41
HMGN5,79366,High mobility group nucleosome binding domain 5,41 ng/L,41
TRABD2B,388630,TraB domain containing 2B,41 ng/L,41
CTPS2,56474,CTP synthase 2,40 ng/L,40
PICALM,8301,Phosphatidylinositol binding clathrin assembly protein,40 ng/L,40
RBBP9,10741,"RB binding protein 9, serine hydrolase",40 ng/L,40
ATXN10,25814,Ataxin 10,40 ng/L,40
GALNT15,117248,Polypeptide N-acetylgalactosaminyltransferase 15,40 ng/L,40
TINAG,27283,Tubulointerstitial nephritis antigen,40 ng/L,40
SEC31A,22872,"SEC31 homolog A, COPII coat complex component",40 ng/L,40
SBSPON,157869,Somatomedin B and thrombospondin type 1 domain containing,40 ng/L,40
DDX21,9188,DExD-box helicase 21,40 ng/L,40
PAH,5053,Phenylalanine hydroxylase,40 ng/L,40
C1QTNF1,114897,C1q and TNF related 1,40 ng/L,40
AHNAK2,113146,AHNAK nucleoprotein 2,40 ng/L,40
JPT1,51155,Jupiter microtubule associated homolog 1,40 ng/L,40
CNOT3,4849,CCR4-NOT transcription complex subunit 3,39 ng/L,39
FKBP5,2289,FKBP prolyl isomerase 5,39 ng/L,39
ERBIN,55914,Erbb2 interacting protein,39 ng/L,39
NRBP1,29959,Nuclear receptor binding protein 1,39 ng/L,39
PCDHB14,56122,Protocadherin beta 14,39 ng/L,39
COX7C,1350,Cytochrome c oxidase subunit 7C,39 ng/L,39
TPMT,7172,Thiopurine S-methyltransferase,39 ng/L,39
RPS11,6205,Ribosomal protein S11,39 ng/L,39
ITPKB,3707,Inositol-trisphosphate 3-kinase B,39 ng/L,39
BUB3,9184,BUB3 mitotic checkpoint protein,39 ng/L,39
AK4,205,Adenylate kinase 4,39 ng/L,39
VWC2,375567,Von Willebrand factor C domain containing 2,39 ng/L,39
DNAJC9,23234,DnaJ heat shock protein family (Hsp40) member C9,39 ng/L,39
