symbol	Entrez	UNIPROT	3250_overlap	Concentration(ng/L)	EV_number of experiment	EV_quantity_Median
TKT	7086	P29401	P	150000	35	63474202
S100A13	6284	Q99584	P	36	23	42094348.35
EHD2	30846	Q9NZN4	P	1500	27	132410382.1
ATP5MD	84833	Q96IX5	P	55	11	5665681
DAG1	1605	Q14118	P	84000	23	17317690.17
HINT1	3094	P49773	P	2800	21	190265895
FKBP2	2286	P26885	P	510	15	37596306
NT5DC1	221294	Q5TFE4	P	140	15	43167315.84
RPL29	6159	P47914	P	190	22	39955965.66
LAMB2	3913	P55268	P	25000	19	62347147
PGRMC1	10857	O00264	P	1200	19	97764417.28
GSTO1	9446	P78417	P	120000	34	136599393.5
NQO2	4835	P16083	P	6000	18	38452553
GPHN	10243	Q9NQX3	P	6.9	15	13804625.44
PHB2	11331	Q99623	P	77	26	23856093.56
TATDN1	83940	Q6P1N9	P	660	16	44940514.31
ACTR1A	10121	P61163	P	560	40	227108034.2
ATP2A3	489	Q93084	P	5400	14	47241398.08
GRHPR	9380	Q9UBQ7	P	2700	25	211399248.2
TPM3	7170	P06753	P	170000	31	178032033
PDLIM7	9260	Q9NR12	P	1700	20	110748466.4
PDHA1	5160	P08559	P	100	10	34291909.85
COX5B	1329	P10606	P	230	15	39243208.45
EIF4A2	1974	Q14240	P	1600	32	524517549.1
RTN4	57142	Q9NQC3	P	3400	29	102769196.6
SLK	9748	Q9H2G2	P	140	32	15441842.88
PHB	5245	P35232	P	360	26	41762943.27
NAPA	8775	P54920	P	2200	36	46570490.33
COX4I1	1327	P13073	P	55	17	5395858.971
S100A12	6283	P80511	P	8300	12	159250737.8
SLC9A1	6548	P19634	P	21	17	106518801.2
EZR	7430	P15311	P	42000	44	605693606
RTN3	10313	O95197	P	130	13	90681720
FUCA1	2517	P04066	P	60000	22	71552395
PCDH1	5097	Q08174	P	2500	14	25812763.85
ACSS2	55902	Q9NR19	P	16	20	69816150.08
DLST	1743	P36957	P	70	19	20040055.75
PDHB	5162	P11177	P	61	12	15975832
EPB41L3	23136	Q9Y2J2	P	100	19	105698189.9
HSPB1	3315	P04792	P	19000	35	557384763.3
WDR1	9948	O75083	P	63000	32	723616209.4
BAIAP2	10458	Q9UQB8	P	18	32	36971799.44
NDUFA8	4702	P51970	P	25	5	17628090.67
DNAJB4	11080	Q9UDY4	P	9.5	12	22881882
IGKV3-20	28912	P01619	P	20000000	10	167962327.3
SDHB	6390	P21912	P	7.9	15	20069190.5
ARRB1	408	P49407	P	1500	12	65483195
NDUFS1	4719	P28331	P	48	11	12895082.25
MTAP	4507	Q13126	P	3000	23	108196967.1
SPON1	10418	Q9HCB6	P	28000	16	47268669.14
PSIP1	11168	O75475	P	24	17	85468747.56
PRKACA	5566	P17612	P	170	22	74461975.88
SPR	6697	P35270	P	180	24	94682459.58
SLC25A5	292	P05141	P	640	34	58311623.81
GCLC	2729	P48506	P	5800	19	26099184.79
CSRP2	1466	Q16527	P	63	16	80911890.22
TALDO1	6888	P37837	P	29000	29	182924083.8
CDA	978	P32320	P	3700	13	41611333
C1QBP	708	Q07021	P	410	21	57681421.25
CYB5A	1528	P00167	P	1400	22	105323903.5
TUBA4A	7277	P68366	P	130000	39	3438032043
CD74	972	P04233	P	210	8	52562214.63
ALAD	210	P13716	P	44000	15	13732857
DYNLL2	140735	Q96FJ2	P	1000	18	241944574.6
MINK1	50488	Q8N4C8	P	26	22	26247454.95
KRT18	3875	P05783	P	140000	28	229974248.7
PRKAR1A	5573	P10644	P	1800	21	82300298.26
ATP5PB	515	P24539	P	170	16	12792211.05
MPO	4353	P05164	P	24000	9	607714164.4
F2	2147	P00734	P	41000000	13	622625656
ACAT2	39	Q9BWD1	P	14000	29	51786293
H1-2	3006	P16403	P	5500	34	556387582.6
GOT2	2806	P00505	P	2800	16	29733598.01
ACTN4	81	O43707	P	71000	49	140028128.7
PDCD6IP	10015	Q8WUM4	P	4100	65	341799463.9
ABI3BP	25890	Q7Z7G0	P	550000	12	61679800.08
PSMB5	5693	P28074	P	6200	36	65991238.74
NDUFV2	4729	P19404	P	7.6	12	2604927.578
HADHA	3030	P40939	P	470	23	34112756.56
ACADVL	37	P49748	P	98	21	29406318.59
ADD1	118	P35611	P	360	29	29000551.88
GLUL	2752	P15104	P	150	1	54035387.58
KRT8	3856	P05787	P	1700000	24	235963566.6
CP	1356	P00450	P	440000000	16	216084675
GSN	2934	P06396	P	240000000	38	546928404.8
LGALS1	3956	P09382	P	20000	28	749174393.8
PHPT1	29085	Q9NRX4	P	590	14	177706910.5
LAMA5	3911	O15230	P	1800	28	29022853.31
LMNB2	84823	Q03252	P	110	16	17182343.84
CALD1	800	Q05682	P	39000	11	34323397.92
RDX	5962	P35241	P	38000	33	599225200.5
NAPG	8774	Q99747	P	8.8	35	27602437.44
SUCLG2	8801	Q96I99	P	300	16	33218529.06
CAVIN1	284119	Q6NZI2	P	440	7	42859808.13
CRYL1	51084	Q9Y2S2	P	690	17	85589644.78
SERPINC1	462	P01008	P	120000000	25	292648972.4
PURA	5813	Q00577	P	260	19	187566037.9
APOC3	345	P02656	P	45000000	18	93443301.88
OGDH	4967	Q02218	P	130	11	13500490.5
SLC25A24	29957	Q6NUK1	P	19	13	30294579
NDUFA4	4697	O00483	P	50	14	18129419.16
VCL	7414	P18206	P	750000	40	58001549.88
ATP5MG	10632	O75964	P	44	16	19257908.28
GPC4	2239	O75487	P	190	26	60945340.05
ARL6IP5	10550	O75915	P	1100	22	84865836.12
OLFML3	56944	Q9NRN5	P	3000	17	52097484.15
EML2	24139	O95834	P	180	17	100020931
COL6A2	1292	P12110	P	8200	22	152336425.8
DPP7	29952	Q9UHL4	P	1600	19	14938242
GAMT	2593	Q14353	P	420	9	44260344
ETFB	2109	P38117	P	170	18	33594105
PCYT2	5833	Q99447	P	84	17	69387505
S100A4	6275	P26447	P	9600	20	229288074.8
ALDH1A1	216	P00352	P	58000	25	190840877.8
SPTBN1	6711	Q01082	P	1500	29	41639597.99
ATP5PD	10476	O75947	P	60	16	11394439
HLA-C	3107	P10321	P	240000	49	229179153.4
PARK7	11315	Q99497	P	35000	33	70117623.5
PACSIN2	11252	Q9UNF0	P	2400	30	43343219.4
GC	2638	P02774	P	73000000	13	184814539.5
ENO3	2027	P13929	P	86000	31	687587468.8
MMP9	4318	P14780	P	61000	2	30221265.5
UQCRC2	7385	P22695	P	180	24	9178531.563
STXBP1	6812	P61764	P	29	23	31423942.57
FLNB	2317	O75369	P	20000	43	284007484.2
DDAH1	23576	O94760	P	350	31	58328571.22
PC	5091	P11498	P	200	12	39167156.11
LTA4H	4048	P09960	P	86000	28	36829727.38
FABP5	2171	Q01469	P	14000	29	36224843.91
LHPP	64077	Q9H008	P	820	14	5416762.5
H4-16	121504	P62805	P	25000	33	4590789902
H4C8	8365	P62805	NA	25000	32	4590789902
H4C3	8364	P62805	NA	25000	32	4590789902
H4C11	8363	P62805	NA	25000	32	4590789902
H4C15	554313	P62805	NA	25000	32	4590789902
H4C14	8370	P62805	NA	25000	32	4590789902
H4C12	8362	P62805	NA	25000	32	4590789902
H4C6	8361	P62805	NA	25000	32	4590789902
H4C13	8368	P62805	NA	25000	32	4590789902
H4C9	8294	P62805	NA	25000	35	4590789902
H4C5	8367	P62805	NA	25000	32	4590789902
H4C4	8360	P62805	NA	25000	32	4590789902
H4C1	8359	P62805	NA	25000	47	4590789902
H4C2	8366	P62805	NA	25000	32	4590789902
PCCB	5096	P05166	P	120	4	8762625.5
OXCT1	5019	P55809	P	440	9	27461153
NADK2	133686	Q4G0N4	P	30	8	35953614.21
PFN2	5217	P35080	P	19	18	90738514.38
PYGB	5834	P11216	P	14000	40	421791741.9
QSOX1	5768	O00391	P	2600000	36	112772883.9
SDC4	6385	P31431	P	320	30	41527212.91
PRKCB	5579	P05771	P	380	7	36975086.13
GNG12	55970	Q9UBI6	P	550	27	110074399.6
PLPBP	11212	O94903	P	34	18	42982050.1
EHD1	10938	Q9H4M9	P	10000	30	186030616.1
PLG	5340	P00747	P	45000000	14	405451706.4
SHMT1	6470	P34896	P	1500	20	70941101.78
ALDH1L1	10840	O75891	P	3000	18	155378127.3
MYL6	4637	P60660	P	60000	26	487819999.5
MDH2	4191	P40926	P	14000	28	49670168.25
PLA2G4A	5321	P47712	P	35	20	50274958.04
SH3BGRL	6451	O75368	P	13000	17	32034573
CDC42	998	P60953	P	2700	41	385848321.6
SNTB1	6641	Q13884	P	25	28	49445642.58
FTL	2512	P02792	P	170000	24	2492448098
CTH	1491	P32929	P	220	15	26723146.75
PRDX3	10935	P30048	P	1600	28	39420458
PCMT1	5110	P22061	P	4100	30	50906603.78
A2M	2	P01023	P	170000000	40	3217789919
ALDH7A1	501	P49419	P	430	32	118827981.9
DECR1	1666	Q16698	P	120	14	23378820.92
PGM1	5236	P36871	P	21000	26	125440100.8
AZU1	566	P20160	P	320	12	377968347.4
MGST3	4259	O14880	P	27	17	31369877.13
GSTP1	2950	P09211	P	69000	29	657793830.3
SPRYD4	283377	Q8WW59	P	7.5	14	51822365.25
UGDH	7358	O60701	P	1300	36	211289895.6
SUSD2	56241	Q9UGT4	P	6800	18	94278175.88
IDH1	3417	O75874	P	16000	36	119538538.5
CPM	1368	P14384	P	7100	18	41559992.25
ANXA3	306	P12429	P	6400	23	97449580.57
ARHGDIA	396	P52565	P	21000	38	87624376.75
HPX	3263	P02790	P	190000000	7	101247092.9
AKR7A2	8574	O43488	P	950	25	167904569.5
CTSG	1511	P08311	P	330	15	121618476.1
GNAI1	2770	P63096	P	1600	36	464768835
HADHB	3032	P55084	P	61	14	25036840.63
ACO2	50	Q99798	P	2000	20	38237152.13
SERPINA3	12	P01011	P	94000000	15	105513700.8
AHSG	197	P02765	P	110000000	23	169225353.7
ADD2	119	P35612	P	18	3	14521940.5
YWHAE	7531	P62258	P	83000	55	471667984
ANG	283	P03950	P	410000	14	20506154.5
CD44	960	P16070	P	1200000	35	156613762.8
PODXL	5420	O00592	P	33000	28	55626076.63
SPTAN1	6709	Q13813	P	1600	42	49717869.81
COX5A	9377	P20674	P	530	12	24972965
HEBP1	50865	Q9NRV9	P	290	24	57216500.75
APOM	55937	O95445	P	8200000	14	173007724.6
TUBB4A	10382	P04350	P	110000	32	3234244277
GSR	2936	P00390	P	81000	32	20972838.5
CPT1A	1374	P50416	P	45	10	20564675.83
ECH1	1891	Q13011	P	720	20	41185783.38
ALDH2	217	P05091	P	2200	23	237044828.7
IGHV1-69	28461	P01742	P	2700000	13	109334449.8
SLC25A11	8402	Q02978	P	25	11	9471978.99
CRIP1	1396	P50238	P	29	13	96162753.23
ELANE	1991	P08246	P	370	6	305036222.2
COL14A1	7373	Q05707	P	3200	13	34242808.23
NNT	23530	Q13423	P	110	11	4921466.625
TUBB1	81027	Q9H4B7	P	87000	19	1657465794
APOD	347	P05090	P	90000000	13	127968631
ADH5	128	P11766	P	5300	22	238183086.7
CD99	4267	P14209	P	62000	14	41451380.59
COX6C	1345	P09669	P	210	8	2550077.042
COTL1	23406	Q14019	P	10000	24	54250559.67
GLUD1	2746	P00367	P	23000	17	31962189.46
PTER	9317	Q96BW5	P	8.6	18	17473141
TIMP3	7078	P35625	P	700	15	119769781.1
ASS1	445	P00966	P	6400	35	283356273
ITGA7	3679	Q13683	P	1200	14	11876392.5
ASL	435	P04424	P	12000	17	37226329.9
PTGS1	5742	P23219	P	2100	13	69861837.56
RIDA	10247	P52758	P	5000	18	10797250.5
CRYZ	1429	Q08257	P	6400	24	107890982.5
PRDX5	25824	P30044	P	6900	34	82414239.67
AKR1A1	10327	P14550	P	7600	26	207689888.3
ATP5F1B	506	P06576	P	19000	33	131842201.8
GLO1	2739	Q04760	P	1500	23	85266530.94
EPB41	2035	P11171	P	1100	22	43921920.8
ACADM	34	P11310	P	930	13	24141024.25
ATP5F1C	509	P36542	P	70	18	14477835.13
ACSL1	2180	P33121	P	44	8	83506658.08
ALCAM	214	Q13740	P	1600000	28	22384525.25
GMPR	2766	P36959	P	950	13	18671400
TST	7263	Q16762	P	560	12	116619788
ANXA6	309	P08133	P	1800	44	411866588.8
HIBADH	11112	P31937	P	820	8	8846736.453
HSPB6	126393	O14558	P	310	9	81442601.22
FBN1	2200	P35555	P	520000	14	207882677.3
HINT2	84681	Q9BX68	P	110	10	39860485.5
ECHS1	1892	P30084	P	1200	20	12491861.5
GNAO1	2775	P09471	P	510	26	624274988.1
AK3	50808	Q9UIJ7	P	31	17	79576172.04
FGB	2244	P02675	P	110000000	15	1317980547
ALPL	249	P05186	P	13000	3	74150191.21
ARPC1A	10552	Q92747	P	760	28	123616512
LUM	4060	P51884	P	29000000	19	298825191.7
CD5L	922	O43866	P	4300000	3	109164709.9
BPGM	669	P07738	P	81000	12	62997423.88
GLOD4	51031	Q9HC38	P	3500	22	94294204.34
LCN2	3934	P80188	P	590000	20	27248025.19
PCBD1	5092	P61457	P	170	21	388222523.6
RAB27B	5874	O00194	P	6500	13	22475552.75
TXN	7295	P10599	P	16000	34	266301897.4
TPPP3	51673	Q9BW30	P	43	11	348541477.3
COX6B1	1340	P14854	P	150	16	61066284.06
PRDX1	5052	Q06830	P	110000	39	628453571.5
GNG2	54331	P59768	P	170	12	45258533
IGHG2	3501	P01859	P	250000000	1	438715317.7
SERPINA1	5265	P01009	P	140000000	18	221507347.5
CES2	8824	O00748	P	6400	17	12528363
FGG	2266	P02679	P	73000000	10	591659556.8
BLVRB	645	P30043	P	370000	22	302584972.8
FGA	2243	P02671	P	140000000	18	1602474420
S100P	6286	P25815	P	1600	15	123108608.4
AK1	203	P00568	P	24000	26	84399994.25
APOA1	335	P02647	P	110000000	20	593183247.1
CLIC6	54102	Q96NY7	P	180	20	119004116.6
FLNA	2316	P21333	P	730000	45	493391645.5
KRT9	3857	P35527	P	24000000	54	135416150
IGFBP2	3485	P18065	P	810000	18	30221371.41
TF	7018	P02787	P	98000000	16	187267797.7
ATP5PO	539	P48047	P	150	23	35866855.29
PRDX6	9588	P30041	P	120000	33	164173297
GLRX	2745	P35754	P	6300	19	62774166.33
SLC25A4	291	P12235	P	380	18	58087903.02
BPI	671	P17213	P	78	9	92006232.83
IGHG4	3503	P01861	P	170000000	1	443685734.8
CST3	1471	P01034	P	2800000	23	78530992
HSPA2	3306	P54652	P	63000	32	1329430958
CKMT1B	1159	P12532	P	2000	20	87607674.54
CKMT1A	548596	P12532	NA	2000	7	87607674.54
HIBCH	26275	Q6NVY1	P	74	12	58053866.19
AKR1B1	231	P15121	P	1500	22	220129954.4
MATN2	4147	O00339	P	1500	20	37057893
GOT1	2805	P17174	P	100000	40	45094303.25
GNG7	2788	O60262	P	72	16	13091478.04
CBR1	873	P16152	P	12000	30	310471924.4
ALDH9A1	223	P49189	P	2000	34	344178012.2
PRELP	5549	P51888	P	450	6	78961573.21
ALDH3A2	224	P51648	P	32	9	57435162.5
ATP5F1A	498	P25705	P	8800	30	51713154.69
DHRS11	79154	Q6UWP2	P	42	14	33095263.13
WARS1	7453	P23381	P	49000	36	66779187.4
SOD1	6647	P00441	P	50000	25	55891156.19
FN3K	64122	Q9H479	P	180	7	46891158.38
HADH	3033	Q16836	P	1000	16	39843613.81
PIGR	5284	P01833	P	1300000	10	265461789.2
PFKM	5213	P08237	P	410	25	122606739.1
ALDH5A1	7915	P51649	P	50	16	36947842.8
ITGA3	3675	P26006	P	170	41	202658035.2
HLA-A	3105	P04439	P	170000	65	183161992.2
CRIP2	1397	P52943	P	160	17	91247916.25
BCAM	4059	P50895	P	18000	25	48846403.75
SUCLG1	8802	P53597	P	350	14	43168347.5
CAT	847	P04040	P	760000	34	78068774.46
MYL9	10398	P24844	P	34000	19	81705548.25
CRAT	1384	P43155	P	8.1	15	34789473.12
PRDX2	7001	P32119	P	800000	37	324927616.8
PRKAR2B	5577	P31323	P	570	19	73502551.12
FLNC	2318	Q14315	P	26000	25	256702931.6
VTN	7448	P04004	P	33000000	24	1498750141
CES1	1066	P23141	P	40000	13	59993457.83
DCXR	51181	Q7Z4W1	P	4000	17	49718514.5
QDPR	5860	P09417	P	2500	18	123358609.3
HLA-B	3106	P01889	P	190000	32	218556494.3
AZGP1	563	P25311	P	74000000	13	86503713.5
H1-4	3008	P10412	P	8300	18	592474344.1
MDH1	4190	P40925	P	49000	25	49415919.5
DSTN	11034	P60981	P	3700	35	206999156.3
PTX3	5806	P26022	P	970	18	50076751.13
JCHAIN	3512	P01591	P	2200000	23	279826186.1
LYZ	4069	P61626	P	1500000	18	123103677.5
KRT19	3880	P08727	P	300000	34	263283396.7
MZB1	51237	Q8WU39	P	350	10	67194394
ACADSB	36	P45954	P	37	19	23328419.08
HP	3240	P00738	P	100000000	16	272488468.6
ALDH4A1	8659	P30038	P	58	12	37362834.38
GATM	2628	P50440	P	600	4	83828579.25
EPHX1	2052	P07099	P	160	22	361829298.3
DBI	1622	P07108	P	9100	15	64964746.5
CLU	1191	P10909	P	29000000	37	416141826.4
UCHL1	7345	P09936	P	500	17	92707070.83
NDRG2	57447	Q9UN36	P	460	14	50450733.78
CFL2	1073	Q9Y281	P	47000	32	454634481.8
MFAP4	4239	P55083	P	110000	7	172058840
IGHA1	3493	P01876	P	130000000	3	973746076.2
NPNT	255743	Q6UXI9	P	120	12	83080310.77
FBP1	2203	P09467	P	21000	14	27830242.52
S100B	6285	P04271	P	300	6	272253789.3
IGHM	3507	P01871	P	110000000	1	2729778819
SOD3	6649	P08294	P	510000	10	89646489.96
KRT1	3848	P04264	P	35000000	52	325367861.3
ACAT1	38	P24752	P	1400	16	32414375.3
RBP1	5947	P09455	P	41	27	52995021.25
ANK1	286	P16157	P	4200	14	66348481.02
SELENBP1	8991	Q13228	P	59000	18	107097034.8
LTF	4057	P02788	P	350000	22	374617321.5
EPHX2	2053	P34913	P	1100	5	58438626.1
CAVIN2	8436	O95810	P	88000	13	64457804
TPM1	7168	P09493	P	120000	30	192830942.1
NQO1	1728	P15559	P	490	30	326661798.6
PEBP1	5037	P30086	P	51000	32	111239482.8
CSRP1	1465	P21291	P	11000	26	97189057.25
CRYAB	1410	P02511	P	370	17	156704600.2
CMBL	134147	Q96DG6	P	580	19	86281552.27
EEF1A2	1917	Q05639	P	55000	34	2787295382
GSTM3	2947	P21266	P	790	32	236078186.1
TAGLN	6876	Q01995	P	6300	20	67660686.88
SPTA1	6708	P02549	P	11000	17	19459667.43
DCN	1634	P07585	P	1900	9	69190572
HBA1	3039	P69905	P	14000000	31	25455835446
HBA2	3040	P69905	NA	14000000	19	25455835446
SPTB	6710	P11277	P	7800	19	40562974.52
GSTM2	2946	P28161	P	1200	11	281618985
HBD	3045	P02042	P	6600000	21	23953292545
ABAT	18	P80404	P	2100	3	18814949.63
CA1	759	P00915	P	4600000	4	53721857.92
HBB	3043	P68871	P	10000000	18	29370996116
ADH1B	125	P00325	P	39000	3	790696063.3
CA2	760	P00918	P	570000	20	35894083.94
SNCG	6623	O76070	P	23	12	19796688.06
PGM5	5239	Q15124	P	450	2	30029769.5
CKB	1152	P12277	P	38000	27	80906016.25
MYH11	4629	P35749	P	23000	25	221788289.5
DES	1674	P17661	P	1600	18	174982250.4
IGKV3-7	28915	A0A075B6H7	NA	850000	NA	161180920
IGKV1D-42	28892	A0A075B6H8	NA	41000	NA	NA
IGLV4-69	28784	A0A075B6H9	NA	320000	NA	NA
IGLV8-61	28774	A0A075B6I0	NA	620000	NA	108268159.8
IGLV4-60	28785	A0A075B6I1	NA	120000	NA	NA
IGLV10-54	28772	A0A075B6I4	NA	54000	NA	6405723.938
IGLV7-46	28775	A0A075B6I9	NA	270000	NA	206610525
IGLV5-37	28783	A0A075B6J1	NA	14000	NA	NA
IGLV3-22	28795	A0A075B6J6	NA	1100000	NA	NA
IGLV2-18	28814	A0A075B6J9	NA	570000	NA	147189532
IGLV3-16	28799	A0A075B6K0	NA	350000	NA	109600751.9
IGLV3-12	28802	A0A075B6K2	NA	850000	NA	NA
IGLV3-10	28803	A0A075B6K4	NA	2000000	NA	128459244.5
IGLV3-9	28804	A0A075B6K5	NA	1500000	NA	12927363
IGLV4-3	28786	A0A075B6K6	NA	1600	NA	NA
IGHV3-64	28414	A0A075B6Q5	NA	4300000	NA	190452512
IGHV4-4	28401	A0A075B6R2	NA	3800000	NA	32539783.75
IGKV2D-29	28882	A0A075B6S2	NA	1500000	NA	NA
IGKV1D-17	28900	A0A075B6S4	NA	1000000	NA	NA
IGKV1-27	28935	A0A075B6S5	NA	8300000	NA	97548731.19
IGLV5-45	28781	A0A087WSX0	NA	160000	NA	NA
IGKV3D-15	28875	A0A087WSY6	NA	4800000	NA	129753053
IGKV1D-8	28904	A0A087WSZ0	NA	1900000	NA	NA
IGKV2D-26	28884	A0A0A0MRZ7	NA	1000000	NA	NA
IGKV3D-11	28876	A0A0A0MRZ8	NA	6700000	NA	NA
IGLV5-52	28779	A0A0A0MRZ9	NA	1200	NA	NA
IGHV1-45	28466	A0A0A0MS14	NA	380000	NA	NA
IGHV3-49	28423	A0A0A0MS15	NA	1600000	NA	159127885.3
IGLV1-36	28826	A0A0B4J1U3	NA	980000	NA	NA
IGHV6-1	28385	A0A0B4J1U7	NA	930000	NA	212912281
IGHV3-15	28448	A0A0B4J1V0	NA	20000000	NA	202649459.6
IGHV3-21	28444	A0A0B4J1V1	NA	37000000	NA	187062473.8
IGHV2-26	28455	A0A0B4J1V2	NA	190000	NA	196953349.8
IGHV3-73	28409	A0A0B4J1V6	NA	3200000	NA	183672435.5
IGHV7-81	28378	A0A0B4J1V7	NA	270000	NA	NA
IGHV3-74	28408	A0A0B4J1X5	NA	27000000	NA	170870354
IGHV3-43	28426	A0A0B4J1X8	NA	4000000	NA	190939439
IGLV9-49	28773	A0A0B4J1Y8	NA	43000	NA	NA
IGHV3-72	28410	A0A0B4J1Y9	NA	9600000	NA	NA
IGKV1D-43	28891	A0A0B4J1Z2	NA	380000	NA	NA
IGKV1D-13	28902	A0A0B4J2D9	NA	370000	NA	33662650.44
IGHV1-69D	102723169	A0A0B4J2H0	NA	1200000	NA	109334449.8
IGKV6-21	28906	A0A0C4DH24	NA	250000	NA	154965650.9
IGKV3D-20	28874	A0A0C4DH25	NA	11000000	NA	122684861.5
IGKV6D-41	28869	A0A0C4DH26	NA	32000	NA	NA
IGHV1-3	28473	A0A0C4DH29	NA	2600000	NA	143837194
IGHV3-16	28447	A0A0C4DH30	NA	3200000	NA	NA
IGHV1-18	28468	A0A0C4DH31	NA	4700000	NA	185955138
IGHV3-20	28445	A0A0C4DH32	NA	2200000	NA	315452367
IGHV1-24	28467	A0A0C4DH33	NA	3100000	NA	329132776
IGHV4-28	28400	A0A0C4DH34	NA	2500000	NA	75301527.73
IGHV3-35	28432	A0A0C4DH35	NA	19000000	NA	190358309.5
IGHV3-38	28429	A0A0C4DH36	NA	2900000	NA	183672435.5
IGHV5-51	28388	A0A0C4DH38	NA	2700000	NA	136491784.3
IGHV1-58	28464	A0A0C4DH39	NA	120000	NA	NA
IGHV4-61	28391	A0A0C4DH41	NA	4400000	NA	NA
IGHV3-66	28412	A0A0C4DH42	NA	7200000	NA	NA
IGHV2-70D	102723168	A0A0C4DH43	NA	110000	NA	109824976.1
IGKV3D-7	28877	A0A0C4DH55	NA	3700000	NA	NA
IGKV1-8	28942	A0A0C4DH67	NA	6100000	NA	207773223.8
IGKV2-24	28923	A0A0C4DH68	NA	840000	1	866988981.3
IGKV1-9	28941	A0A0C4DH69	NA	4500000	NA	NA
IGKV1-6	28943	A0A0C4DH72	NA	12000000	NA	87531972
IGKV1-12	28940	A0A0C4DH73	NA	13000000	NA	73548484
IGHV1-69-2	28458	A0A0G2JMI3	NA	1100000	NA	NA
IGHV7-4-1	57289	A0A0J9YVY3	NA	560000	NA	84159705.38
IGHV3-64D	102723170	A0A0J9YX35	NA	2500000	NA	183672435.5
IGHV5-10-1	28386	A0A0J9YXX1	NA	1200000	NA	159657188
C3orf85	401081	A0A1B0GTC6	NA	2900	NA	NA
ESYT2	57488	A0FGR8	NA	24	14	NA
FUOM	282969	A2VDF0	NA	2000	9	NA
ASPDH	554235	A6ND91	NA	200	NA	NA
TRABD2B	388630	A6NFA1	NA	41	NA	NA
IGLON5	402665	A6NGN9	NA	15	NA	NA
GLTPD2	388323	A6NH11	NA	150	NA	NA
LILRA5	353514	A6NI73	NA	670	NA	NA
TTC36	143941	A6NLP5	NA	100	NA	NA
COL6A6	131873	A6NMZ7	NA	700	NA	24122097
A2ML1	144568	A8K2U0	NA	10000	13	3903353.24
CLCA1	1179	A8K7I4	NA	77	NA	142794499.8
KRTAP9-7	100505724	A8MTY7	NA	2900	NA	NA
HEPACAM2	253012	A8MVW5	NA	210	NA	NA
ISM1	140862	B1AKI9	NA	17	NA	NA
SMIM1	388588	B2RUZ4	NA	340	12	NA
IGLL5	100423062	B9A064	NA	53000000	11	617593162.9
CCER2	643669	I3L3R5	NA	8.8	NA	NA
ERVH48-1	90625	M5A8F1	NA	57	NA	NA
DNASE2	1777	O00115	NA	560	NA	NA
MASP2	10747	O00187	NA	820000	NA	121770684.2
C11orf58	10944	O00193	NA	100	12	NA
PSMD9	5715	O00233	NA	500	24	NA
SIRPB1	10326	O00241	NA	44000	NA	48383398.5
ATOX1	475	O00244	NA	790	13	NA
DFFA	1676	O00273	NA	8.7	7	NA
IGF2BP3	10643	O00425	NA	27	21	34352732.63
GFRA2	2675	O00451	NA	9000	NA	NA
MANBA	4126	O00462	NA	15000	11	NA
CHL1	10752	O00533	NA	5800000	NA	NA
DLL1	28514	O00548	NA	690	NA	NA
DDX3X	1654	O00571	NA	260	25	NA
RNASET2	8635	O00584	NA	15000	14	NA
CCL21	6366	O00585	NA	920	NA	NA
MFNG	4242	O00587	NA	74	NA	NA
FCN1	2219	O00602	NA	36000	NA	27700960.5
FBP2	8789	O00757	NA	960	7	17159292
ISLR	3671	O14498	NA	130000	NA	38850047
GAPDHS	26330	O14556	NA	7500	12	468499093.5
NCAN	1463	O14594	NA	790	NA	NA
TMSB4Y	9087	O14604	NA	2400	NA	NA
CCS	9973	O14618	NA	190	15	NA
ENPP3	5169	O14638	NA	1100	19	50122684.08
ABLIM1	3983	O14639	NA	6	NA	NA
TCERG1	10915	O14776	NA	17	3	NA
APOL1	8542	O14791	NA	9200000	NA	48396122
MSTN	2660	O14793	NA	7600	NA	3368128.125
PCDH17	27253	O14917	NA	690	NA	NA
UQCRQ	27089	O14949	NA	18	18	NA
LECT2	3950	O14960	NA	5300	NA	NA
HNRNPDL	9987	O14979	NA	330	28	NA
ATP2A1	487	O14983	NA	2800	NA	33971760.35
SEC16A	9919	O15027	NA	48	21	NA
ANGPT2	285	O15123	NA	110	NA	NA
ADAMDEC1	27299	O15204	NA	28000	NA	55538657.5
ZNF185	7739	O15231	NA	220	13	NA
MATN3	4148	O15232	NA	440	12	31624314.4
VGF	7425	O15240	NA	3100	15	84128292
SURF4	6836	O15260	NA	65	12	NA
TCAP	8557	O15273	NA	36	NA	NA
CHAD	1101	O15335	NA	22000	NA	19228427
GPR37	2861	O15354	NA	900	NA	NA
BCAT2	587	O15382	NA	25	NA	NA
NCAM2	4685	O15394	NA	120000	14	NA
SLC16A3	9123	O15427	NA	260	32	74819900.67
ST8SIA5	29906	O15466	NA	24	NA	NA
CCL16	6360	O15467	NA	23000	NA	NA
TAPBP	6892	O15533	NA	20	11	NA
ASAP2	8853	O43150	NA	260	NA	29858292
FLRT2	23768	O43155	NA	17	NA	NA
PLXNB1	5364	O43157	NA	95000	19	28413545.66
PHGDH	26227	O43175	NA	1100	34	NA
ARHGAP6	395	O43182	NA	350	NA	NA
ADAM12	8038	O43184	NA	14000	17	NA
KLK10	5655	O43240	NA	2500	10	24199367.19
SPINT1	6692	O43278	NA	7400	7	17043101.05
